user,book,weight,timestamp
u1,6a5f547eaf19ce02267e4ab0,1,2026-07-21T22:17:05.209Z
u1,6a5f547eaf19ce02267e4ab1,3,2026-07-21T22:17:05.445Z
u1,6a5f547eaf19ce02267e4ab5,2,2026-07-21T22:46:17.848Z
u1,6a5f547eaf19ce02267e4ab1,5,2026-07-21T23:08:52.125Z
u1,6a5f547eaf19ce02267e4ab0,4,2026-07-21T23:57:25.609Z
u2,6a604af7ac6dfb216963d7d3,6,2026-07-22T08:27:18.360Z
u2,6a604af7ac6dfb216963d7d3,4,2026-07-22T08:59:58.414Z
u2,6a604af7ac6dfb216963d7d3,2,2026-07-22T09:00:23.118Z
u3,6a604af7ac6dfb216963d7d3,1,2026-07-22T10:37:06.153Z
u3,6a604af7ac6dfb216963d7d3,1,2026-07-22T10:37:06.252Z
u3,6a604af7ac6dfb216963d7d3,3,2026-07-22T10:37:10.936Z
u4,6a5f547eaf19ce02267e4ab0,1,2026-07-22T12:33:40.257Z
u4,6a5f547eaf19ce02267e4ab0,1,2026-07-22T12:33:40.415Z
u4,6a5f547eaf19ce02267e4ab0,4,2026-07-22T12:33:41.647Z
u5,6a5f547eaf19ce02267e4ab0,1,2026-07-22T12:37:01.142Z
u5,6a5f547eaf19ce02267e4ab0,1,2026-07-22T12:37:01.274Z
u5,6a5f547eaf19ce02267e4ab0,4,2026-07-22T12:37:02.968Z
u6,6a5f547eaf19ce02267e4ab0,1,2026-07-22T12:43:53.857Z
u6,6a5f547eaf19ce02267e4ab0,1,2026-07-22T12:43:55.564Z
u6,6a5f547eaf19ce02267e4ab0,4,2026-07-22T12:43:57.009Z
u7,6a5f547eaf19ce02267e4ab0,1,2026-07-22T12:46:55.196Z
u7,6a5f547eaf19ce02267e4ab0,1,2026-07-22T12:46:55.333Z
u7,6a5f547eaf19ce02267e4ab0,4,2026-07-22T12:46:56.612Z
u8,6a618f10025c9cae05265762,1,2026-07-23T05:18:03.535Z
u8,6a618f10025c9cae05265762,1,2026-07-23T05:18:03.732Z
u8,6a618f11025c9cae05265768,1,2026-07-23T05:18:12.046Z
u8,6a618f11025c9cae05265768,1,2026-07-23T05:18:12.298Z
u8,6a618f13025c9cae05265771,1,2026-07-23T05:18:21.734Z
u8,6a618f13025c9cae05265771,1,2026-07-23T05:18:21.896Z
u9,6a604af7ac6dfb216963d7d3,1,2026-07-23T12:20:40.619Z
u9,6a604af7ac6dfb216963d7d3,1,2026-07-23T12:20:40.947Z
u9,6a604af7ac6dfb216963d7d3,1,2026-07-23T12:21:26.925Z
u9,6a604af7ac6dfb216963d7d3,1,2026-07-23T12:21:27.074Z
u10,6a5f547eaf19ce02267e4ab0,1,2026-08-07T09:25:57.013Z
u10,6a5f547eaf19ce02267e4ab0,1,2026-08-07T09:25:57.306Z
u10,6a5f547eaf19ce02267e4ab0,4,2026-08-07T09:25:59.545Z
u8,6a604af7ac6dfb216963d7d3,3,2026-08-07T13:01:33.046Z
u8,6a5f547eaf19ce02267e4ab5,1,2026-08-07T13:01:38.303Z
