id,title,author,category,tags,has_embedding,rating,reviewsCount
"6a5f547eaf19ce02267e4ab0","Atomic Habits","James Clear","Self Help",3,1,5,19
"6a5f547eaf19ce02267e4ab1","Deep Work","Cal Newport","Business",3,1,4.7,0
"6a5f547eaf19ce02267e4ab2","The Psychology of Money","Morgan Housel","Business",3,1,4.9,0
"6a5f547eaf19ce02267e4ab3","Rich Dad Poor Dad","Robert Kiyosaki","Business",3,1,4.6,0
"6a5f547eaf19ce02267e4ab4","Forest of a Thousand Lanterns","Julie C. Dao","Fiction",3,1,4.8,0
"6a5f547eaf19ce02267e4ab5","Where The Crawdads Sing","Delia Owens","Fiction",2,1,5,1
"6a5f547eaf19ce02267e4ab6","I'll Be Gone In The Dark","Michelle McNamara","History",2,1,4.7,0
"6a5f547eaf19ce02267e4ab7","The Namesake","Jhumpa Lahiri","Fiction",2,1,4.6,0
"6a5f547eaf19ce02267e4ab8","It Ends With Us","Colleen Hoover","Romance",2,1,4.7,0
"6a5f547eaf19ce02267e4ab9","Diary of a Young Girl","Anne Frank","History",2,1,4.9,0
"6a604af7ac6dfb216963d7d3","Test Seller Book","Test Author","Fiction",1,1,4,1
"6a6188cf93996bbdd829af60","The Summer I Turned Pretty Trilogy","Jenny Han","Fiction",6,1,0,0
"6a6188d293996bbdd829af63","Shatter Me","Tahereh Mafi","Fiction",6,1,0,0
"6a6188d393996bbdd829af66","The Silent Patient","Alex Michaelides","Fiction",6,1,0,0
"6a6188d493996bbdd829af6a","The Cruel Prince","Holly Black","Fiction",6,1,0,0
"6a6188d593996bbdd829af6e","Diary of a Wimpy Kid","Jeff Kinney","Fiction",6,1,0,0
"6a6188d693996bbdd829af73","It Ends With Us","Colleen Hoover","Fiction",6,1,0,0
"6a6188d893996bbdd829af77","Powerless","Lauren Roberts","Fiction",3,1,0,0
"6a6188d993996bbdd829af7b","Unravel me","Tahereh Mafi","Fiction",6,1,0,0
"6a6188db93996bbdd829af7f","The Summer I Turned Pretty","Jenny Han","Fiction",6,1,0,0
"6a6188df93996bbdd829af83","The Eyes of Darkness","Dean Koontz","Fiction",6,1,0,0
"6a6188e093996bbdd829af87","Red, White & Royal Blue","Casey McQuiston","Fiction",6,1,0,0
"6a6188e093996bbdd829af8a","A Wizard of Earthsea","Ursula K. Le Guin","Fiction",6,1,0,0
"6a6188e093996bbdd829af8d","They Both Die at the End","Adam Silvera","Fiction",6,1,0,0
"6a6188e093996bbdd829af91","Caraval","Stephanie Garber","Fiction",6,1,0,0
"6a6188e093996bbdd829af94","Мастер и Маргарита","Михаил Афанасьевич Булгаков","Fiction",6,1,0,0
"6a6188e093996bbdd829af97","The Shining","Stephen King","Fiction",6,1,0,0
"6a6188e193996bbdd829af9c","Haunting Adeline","H. D. Carlton","Fiction",6,1,0,0
"6a6188e193996bbdd829afa0","La Peste","Albert Camus","Fiction",6,1,0,0
"6a6188e193996bbdd829afa4","Anthem","Ayn Rand, classics jifara, Spectrum Spectrum Classics","Fiction",6,1,0,0
"6a6188e193996bbdd829afa7","Interview With the Vampire","Anne Rice","Fiction",6,1,0,0
"6a6188e193996bbdd829afac","The Outsiders","S. E. Hinton, Jim Fyfe, Jodi Picoult","Fiction",6,1,0,0
"6a6188e293996bbdd829afb2","Atlas Shrugged (Centennial Ed. HC)","Ayn Rand, Sophie Bastide-Foltz, Adrian Rand","Fiction",6,1,0,0
"6a6188e293996bbdd829afb5","The Silmarillion","J.R.R. Tolkien, Christopher Tolkien","Fiction",6,1,0,0
"6a6188e293996bbdd829afb9","Misery","Stephen King","Fiction",6,1,0,0
"6a6188e293996bbdd829afbd","The Fellowship of the Ring","J.R.R. Tolkien, Editorial Editorial World, Robert Robert Thompson","Fiction",6,1,0,0
"6a6188e593996bbdd829afc5","Start with why","Simon Sinek","Business",6,1,0,0
